模型,TemplateCode,分类,免费额度,已消耗,剩余比例,剩余比例值,到期时间,到期提示,状态,Safemode,SupportSafe,当前容量,初始容量
qwen3-vl-embedding,sfm_inferenceVector_public_cn_20260123112603_0027,embedding,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-rerank,sfm_inferenceVector_public_cn_20260128162843_0274,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-livetranslate-flash-realtime,sfm_inferenceDomain_public_cn_20260515224929_0564,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-livetranslate-flash-realtime-2026-05-19,sfm_inferenceDomain_public_cn_20260515225010_0352,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-omni-flash-realtime,sfm_inferenceOmni_public_cn_20260312140644_0053,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-omni-flash-realtime-2026-03-15,sfm_inferenceOmni_public_cn_20260312141210_0741,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-omni-plus-realtime,sfm_inferenceOmni_public_cn_20260312141416_0282,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-omni-plus-realtime-2026-03-15,sfm_inferenceOmni_public_cn_20260312111548_0370,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
Qwen3.7-通用文本向量,sfm_inferenceVector_public_cn_20260625153940_0723,embedding,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.8-2.4t-a95b,sfm_inference_public_cn_20260812114106_0813,llm,1M tokens,0 tokens,100%,100,2026-11-12,剩余 77 天,valid,off,True,1000000.0,1000000.0
qwen3.8-27b,sfm_inference_public_cn_20260817160332_0018,llm,1M tokens,0 tokens,100%,100,2026-11-18,剩余 83 天,valid,off,True,1000000.0,1000000.0
qwen3.8-flash,sfm_inference_public_cn_20260825205539_0674,llm,1M tokens,0 tokens,100%,100,2026-11-25,剩余 90 天,valid,off,True,1000000.0,1000000.0
qwq-32b,sfm_inference_public_cn_20251111100344_0020,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwq-32b-preview,sfm_inference_public_cn_20251111100346_0236,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwq-plus-2025-03-05,sfm_inference_public_cn_20251111100349_0895,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwq-plus-latest,sfm_inference_public_cn_20251111100351_0980,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
sensevoice-v1,sfm_inference_public_cn_20251111100458_0158,speech,36K seconds,0 seconds,100%,100,2099-01-01,永不过期,valid,off,True,36000.0,36000.0
text-embedding-async-v1,sfm_inference_public_cn_20251111100459_0175,embedding,20M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,20000000.0,20000000.0
text-embedding-async-v2,sfm_inference_public_cn_20251111100501_0742,embedding,20M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,20000000.0,20000000.0
text-embedding-v1,sfm_inference_public_cn_20251111100503_0212,embedding,500K tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,500000.0,500000.0
text-embedding-v2,sfm_inference_public_cn_20251111100504_0331,embedding,500K tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,500000.0,500000.0
text-embedding-v3,sfm_inference_public_cn_20251111100506_0914,embedding,500K tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,500000.0,500000.0
text-embedding-v4,sfm_inference_public_cn_20251111100508_0121,embedding,1M tokens,1M tokens,0%,0,2026-10-21,剩余 55 天,exhaust,off,True,0.0,1000000.0
tongyi-embedding-vision-flash,sfm_inference_public_cn_20251111100509_0473,embedding,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
tongyi-embedding-vision-flash-2026-03-06,sfm_inferenceVector_public_cn_20260318183038_0123,embedding,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
tongyi-embedding-vision-plus,sfm_inference_public_cn_20251111100511_0527,embedding,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
tongyi-embedding-vision-plus-2026-03-06,sfm_inferenceVector_public_cn_20260318183601_0429,embedding,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
wan2.2-dancer,sfm_inferenceWan_public_cn_20260330163400_0161,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.2-s2v-detect,sfm_inference_public_cn_20251111100526_0813,visual,200 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,200.0,200.0
wan2.2-t2v-flash,sfm_inference_public_cn_20251111100532_0359,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan3.0-video,sfm_inferenceWan_public_cn_20260805184003_0613,visual,30 seconds,0 seconds,100%,100,2026-11-05,剩余 70 天,valid,off,True,30.0,30.0
wan3.0-video-prime,sfm_inferenceWan_public_cn_20260820154840_0163,visual,30 seconds,0 seconds,100%,100,2026-11-21,剩余 86 天,valid,off,True,30.0,30.0
